episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.5693460437806885, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.12121212121212122, 87, 169, 12.624994, 16
1, 3.2049288124401065, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.4040404040404041, 59, 115, 53.43951, 74
2, 0.838646895495236, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.12121212121212122, 87, 168, 13.009036, 17
3, 0.7217147781128814, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.13131313131313127, 86, 167, 14.966826, 22
4, 0.7541334527541421, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.13131313131313127, 86, 163, 14.848625, 21
5, 3.5916550256587616, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.43434343434343436, 56, 114, 42.037667, 64
6, 0.6366266934750338, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.09090909090909094, 90, 179, 12.736831, 18
7, 2.2583216923254286, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.2828282828282829, 71, 140, 26.913057, 45
8, 3.649353966202308, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.3939393939393939, 60, 128, 40.655476, 59
9, 0.4025435543918948, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.08080808080808077, 91, 182, 8.116527, 13
10, 0.8156127439463317, 0.912442396313364, 0.99, 0.82, 0.8461538461538461, 0.14141414141414144, 85, 160, 14.693062, 24
11, 0.7509155460427278, 0.9201877934272301, 0.98, 0.85, 0.8672566371681416, 0.12121212121212122, 87, 173, 11.9711, 19
12, 3.4877570952683894, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.41414141414141414, 58, 113, 53.858144, 64
13, 0.8311914387027326, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.12121212121212122, 87, 169, 18.20499, 19
14, 0.7541334527541431, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.13131313131313127, 86, 165, 15.97307, 21
15, 0.8489948911815994, 0.9245283018867924, 0.98, 0.86, 0.875, 0.12121212121212122, 87, 169, 19.826376, 20
16, 0.7551756155314191, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.11111111111111116, 88, 175, 14.985295, 17
17, 3.5512120204287827, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.3939393939393939, 60, 124, 57.631353, 59
18, 0.7551756155314191, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.11111111111111116, 88, 175, 15.271165, 18
19, 0.7612652356998776, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.13131313131313127, 86, 167, 13.942493, 18
20, 0.8311914387027326, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.12121212121212122, 87, 169, 14.02336, 20
21, 0.660255134689779, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.12121212121212122, 87, 169, 11.870177, 17
22, 0.660255134689779, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.12121212121212122, 87, 169, 13.789992, 17
23, 0.7410632154978574, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.11111111111111116, 88, 173, 15.255627, 19
24, 0.8590959012826085, 0.9245283018867924, 0.98, 0.86, 0.875, 0.13131313131313127, 86, 169, 15.824024, 23
25, 3.5714530054567426, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.41414141414141414, 58, 114, 47.601059, 68
26, 0.8489948911815994, 0.9245283018867924, 0.98, 0.86, 0.875, 0.12121212121212122, 87, 167, 11.489526, 19
27, 3.3867469942582873, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.4040404040404041, 59, 116, 40.860201, 63
28, 1.140676006857888, 0.9116279069767441, 0.98, 0.83, 0.8521739130434782, 0.16161616161616166, 83, 156, 10.189672, 17
29, 3.6208057226468675, 0.912442396313364, 0.99, 0.82, 0.8461538461538461, 0.48484848484848486, 51, 102, 40.138001, 66
30, 0.9561536547743432, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.1515151515151515, 84, 156, 11.368738, 20
31, 1.061116103302811, 0.9245283018867924, 0.98, 0.86, 0.875, 0.1515151515151515, 84, 159, 11.520198, 20
32, 0.8652445638652528, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.1515151515151515, 84, 157, 11.865192, 21
33, 0.4934526453009863, 0.9289099526066351, 0.98, 0.87, 0.8828828828828829, 0.08080808080808077, 91, 181, 6.568547, 11
34, 3.965433670152414, 0.9252336448598131, 0.99, 0.85, 0.868421052631579, 0.4444444444444444, 55, 104, 44.32651, 72
35, 0.8551435537642427, 0.9166666666666666, 0.99, 0.83, 0.853448275862069, 0.14141414141414144, 85, 158, 11.629586, 21
36, 3.9166228449564318, 0.912442396313364, 0.99, 0.82, 0.8461538461538461, 0.5151515151515151, 48, 98, 39.851333, 61
