episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.2273072215422276, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.06315789473684208, 89, 170, 6.191048, 10
1, 1.5573075293868475, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.26315789473684215, 70, 143, 30.105727, 45
2, 3.655393156096457, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4736842105263158, 50, 100, 43.450148, 63
3, 0.6861802232854854, 0.8771929824561403, 1.0, 0.72, 0.78125, 0.16842105263157892, 79, 145, 13.868783, 23
4, 3.0592786301244725, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.43157894736842106, 54, 124, 39.320338, 63
5, 1.9639258028792916, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3052631578947368, 66, 124, 23.451563, 38
6, 0.7141649979975973, 0.881057268722467, 1.0, 0.73, 0.7874015748031497, 0.18947368421052635, 77, 136, 12.376078, 19
7, 2.5921518750146397, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.35789473684210527, 61, 114, 25.892817, 47
8, 0.8723663407530681, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.17894736842105263, 78, 143, 14.633933, 24
9, 3.360578206078576, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.4631578947368421, 51, 106, 37.670163, 63
10, 3.9711826297806696, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5052631578947369, 47, 92, 48.597265, 71
11, 2.7848734516835845, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.368421052631579, 60, 114, 35.540141, 45
12, 2.2660827671177053, 0.9216589861751151, 1.0, 0.83, 0.8547008547008547, 0.3157894736842105, 65, 132, 38.500151, 46
13, 0.6483598531211751, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.10526315789473684, 85, 162, 8.665033, 10
14, 0.5660894991100938, 0.888888888888889, 1.0, 0.75, 0.8, 0.13684210526315788, 82, 148, 11.860146, 14
15, 0.6713526570048309, 0.888888888888889, 1.0, 0.75, 0.8, 0.1473684210526316, 81, 147, 12.498116, 14
16, 3.8692924715685995, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.5052631578947369, 47, 94, 50.650902, 67
17, 2.7219240505159683, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.4, 57, 115, 33.524565, 47
18, 3.4765280076501535, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.4842105263157894, 49, 99, 40.436445, 60
19, 3.6028497508512825, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.5263157894736843, 45, 94, 44.232849, 65
20, 3.627083697616134, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4526315789473684, 52, 107, 40.139359, 64
21, 3.824385098919473, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.5263157894736843, 45, 95, 39.845208, 69
22, 3.8692924715686003, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.5052631578947369, 47, 94, 34.981217, 64
23, 3.634257138172533, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.4526315789473684, 52, 106, 36.163764, 67
24, 4.079818787358076, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.5263157894736843, 45, 89, 37.457883, 68
25, 3.532346855510872, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4526315789473684, 52, 104, 29.987998, 58
26, 0.7630904183535755, 0.8771929824561403, 1.0, 0.72, 0.78125, 0.1578947368421053, 80, 147, 8.92356, 18
27, 2.287542993656314, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.3157894736842105, 65, 127, 24.990609, 47
28, 3.637610013405608, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4631578947368421, 51, 103, 32.436295, 62
29, 3.9745556294633375, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.5157894736842106, 46, 91, 37.176528, 65
30, 0.6786752136752137, 0.888888888888889, 1.0, 0.75, 0.8, 0.1473684210526316, 81, 152, 8.474828, 15
31, 2.1744521186687638, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3263157894736842, 64, 120, 21.497834, 38
32, 0.6885199158591319, 0.8968609865470852, 1.0, 0.77, 0.8130081300813008, 0.1578947368421053, 80, 153, 11.563148, 18
33, 0.5688943360498153, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.12631578947368416, 83, 160, 8.184089, 14
34, 0.466957521724221, 0.912442396313364, 0.99, 0.82, 0.8461538461538461, 0.11578947368421055, 84, 161, 13.19582, 23
35, 0.4713526570048313, 0.888888888888889, 1.0, 0.75, 0.8, 0.13684210526315788, 82, 148, 8.874688, 15
36, 3.4770166778668417, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.4631578947368421, 51, 109, 43.41393, 72
37, 2.508597074003107, 0.9295774647887325, 0.99, 0.86, 0.8761061946902655, 0.34736842105263155, 62, 131, 25.99203, 47
38, 4.058662644984555, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5052631578947369, 47, 95, 37.502117, 65
39, 1.876445787675404, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3052631578947368, 66, 124, 20.392472, 38
40, 2.1744521186687646, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3263157894736842, 64, 125, 22.921779, 41
41, 4.069292471568601, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.5157894736842106, 46, 91, 34.711987, 67
42, 2.2974984192543513, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.34736842105263155, 62, 119, 22.129215, 43
43, 3.953399487089817, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.49473684210526314, 48, 98, 31.62443, 64
44, 3.4870602771670716, 0.9209302325581394, 0.99, 0.84, 0.8608695652173913, 0.49473684210526314, 48, 108, 34.336089, 65
