episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.7735195178989018, 0.9174311926605504, 1.0, 0.82, 0.847457627118644, 0.10576923076923073, 93, 193, 16.389489, 22
1, 0.6687025383016847, 0.8968609865470852, 1.0, 0.77, 0.8130081300813008, 0.11538461538461542, 92, 189, 14.883504, 22
2, 0.5114026454254169, 0.9216589861751151, 1.0, 0.83, 0.8547008547008547, 0.09615384615384615, 94, 196, 16.278032, 22
3, 0.6965964409758252, 0.9174311926605504, 1.0, 0.82, 0.847457627118644, 0.11538461538461542, 92, 191, 13.087094, 20
4, 4.27405314488016, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.4903846153846154, 53, 113, 58.104807, 85
5, 3.96886401027246, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.45192307692307687, 57, 122, 52.60291, 81
6, 0.5962222712724864, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.11538461538461542, 92, 177, 9.713671, 17
7, 0.8513948459939928, 0.8968609865470852, 1.0, 0.77, 0.8130081300813008, 0.125, 91, 187, 13.594001, 23
8, 0.7735195178989018, 0.9174311926605504, 1.0, 0.82, 0.847457627118644, 0.10576923076923073, 93, 193, 13.940605, 22
9, 0.5908272102065958, 0.9174311926605504, 1.0, 0.82, 0.847457627118644, 0.09615384615384615, 94, 187, 14.209701, 22
10, 0.5866068866571018, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.11538461538461542, 92, 177, 10.138711, 17
11, 4.052926332926333, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.47115384615384615, 55, 109, 53.671471, 72
12, 1.7284181658622186, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.20192307692307687, 83, 180, 37.543942, 41
13, 4.07711515578167, 0.9216589861751151, 1.0, 0.83, 0.8547008547008547, 0.4807692307692307, 54, 115, 77.038183, 77
14, 0.5842486256570776, 0.9259259259259259, 1.0, 0.84, 0.8620689655172413, 0.09615384615384615, 94, 182, 16.783288, 21
