episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.796855599291058, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.11538461538461542, 92, 181, 10.792046, 16
1, 2.9664019417638787, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3942307692307693, 63, 141, 56.709794, 76
2, 0.8897815157278073, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 185, 15.763777, 22
3, 0.803243054189345, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 13.896009, 22
4, 0.803243054189345, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 14.213384, 21
5, 0.7007017531372112, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.10576923076923073, 93, 186, 11.366737, 19
6, 0.6930310135262373, 0.8968609865470852, 1.0, 0.77, 0.8130081300813008, 0.125, 91, 180, 12.970008, 20
7, 0.803243054189345, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 13.376222, 22
8, 0.7167045926508838, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 13.402226, 20
9, 0.6010316382646478, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.10576923076923073, 93, 192, 11.715877, 20
10, 0.803243054189345, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 11.732274, 21
11, 0.8930094454449039, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.125, 91, 181, 10.887167, 19
12, 0.6045479069833654, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.09615384615384615, 94, 190, 10.933159, 18
13, 0.8930094454449049, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.125, 91, 187, 13.234118, 21
14, 0.8993969003431919, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.14423076923076927, 89, 182, 12.989288, 22
15, 0.7007017531372112, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.10576923076923073, 93, 187, 10.514987, 19
16, 0.7026463981416209, 0.8968609865470852, 1.0, 0.77, 0.8130081300813008, 0.13461538461538458, 90, 178, 11.903271, 20
17, 0.796855599291057, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.11538461538461542, 92, 189, 13.102982, 22
18, 2.69717117253311, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3846153846153846, 64, 135, 51.744211, 61
19, 0.9958350658350645, 0.9009009009009009, 1.0, 0.78, 0.819672131147541, 0.15384615384615385, 88, 181, 20.332733, 24
20, 0.803243054189345, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 15.591777, 21
21, 0.9958350658350645, 0.9009009009009009, 1.0, 0.78, 0.819672131147541, 0.15384615384615385, 88, 181, 22.150691, 24
22, 0.6075564915792617, 0.9216589861751151, 1.0, 0.83, 0.8547008547008547, 0.10576923076923073, 93, 193, 18.136248, 21
23, 0.8930094454449049, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.125, 91, 187, 16.587602, 22
24, 0.6045479069833654, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.09615384615384615, 94, 181, 11.267171, 14
25, 0.7070892080354992, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.125, 91, 186, 14.582939, 20
26, 0.7167045926508838, 0.904977375565611, 1.0, 0.79, 0.8264462809917356, 0.13461538461538458, 90, 184, 17.689142, 22
27, 0.796855599291057, 0.9345794392523363, 1.0, 0.86, 0.8771929824561403, 0.11538461538461542, 92, 192, 16.965583, 24
