episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 5.2871635610766035, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5714285714285714, 42, 96, 8.326956, 68
1, 5.086374782471124, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5408163265306123, 45, 91, 6.476882, 59
2, 2.6271911090017395, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.2857142857142857, 70, 137, 3.922287, 35
3, 5.38920437740313, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5816326530612245, 41, 94, 8.604032, 80
4, 2.433313557981331, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.2755102040816326, 71, 146, 4.027845, 36
5, 4.540599876314158, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.4897959183673469, 50, 106, 6.014144, 58
6, 5.188415598797656, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5510204081632653, 44, 98, 7.7349, 60
7, 7.229231925328268, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.7653061224489796, 23, 61, 10.099514, 93
8, 5.4912451937296645, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6020408163265306, 39, 85, 7.17371, 71
9, 4.474129884511942, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.47959183673469385, 51, 109, 6.604644, 63
10, 0.9681277275515993, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.13265306122448983, 85, 152, 1.459786, 14
11, 4.835474666327106, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5102040816326531, 48, 113, 7.071156, 66
12, 4.937515482653636, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5204081632653061, 47, 106, 6.24399, 61
13, 5.494538047777246, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5918367346938775, 40, 93, 7.501875, 67
14, 2.6373951906343938, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.29591836734693877, 69, 136, 3.760381, 35
15, 5.87733457019171, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.6326530612244898, 36, 81, 8.736181, 78
16, 4.178211517165005, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4591836734693877, 53, 118, 6.34311, 60
17, 2.841476823287454, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3163265306122449, 67, 129, 3.569785, 36
18, 5.389204377403132, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5816326530612245, 41, 92, 6.725809, 71
19, 5.392497231450717, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5714285714285714, 42, 92, 5.653013, 60
20, 5.38920437740313, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5918367346938775, 40, 91, 6.618904, 67
21, 5.797367642709254, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6326530612244898, 36, 82, 7.082552, 72
22, 5.797367642709256, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6224489795918368, 37, 87, 6.853832, 72
23, 6.2190278436956135, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.6632653061224489, 33, 86, 8.423607, 86
24, 3.045558455940515, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.33673469387755106, 65, 123, 4.995537, 43
25, 6.795701917130483, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7346938775510203, 26, 74, 8.667065, 87
26, 5.800660496756837, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.6224489795918368, 37, 89, 8.205264, 84
27, 7.13739519063439, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.7551020408163265, 24, 74, 9.260262, 91
28, 5.188415598797654, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5510204081632653, 44, 91, 5.845835, 60
29, 7.025150292675205, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.7346938775510203, 26, 71, 9.481952, 93
30, 3.974129884511943, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4387755102040817, 55, 123, 5.834944, 56
31, 7.193661100803954, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7653061224489796, 23, 63, 9.842579, 93
32, 5.765089672232525, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.6122448979591837, 38, 86, 7.794325, 68
33, 3.4639258028792885, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3877551020408163, 60, 136, 5.858084, 58
34, 4.223229768367924, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.44897959183673475, 54, 119, 5.799673, 62
35, 5.185122744750071, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5612244897959184, 43, 93, 7.018017, 70
36, 2.9435176396139844, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.326530612244898, 66, 131, 4.333151, 41
37, 5.8994084590357865, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6428571428571428, 35, 80, 7.62803, 71
38, 3.974129884511943, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4387755102040817, 55, 119, 5.950125, 57
39, 4.946790418294974, 0.851063829787234, 1.0, 0.65, 0.7407407407407407, 0.5408163265306123, 45, 97, 6.10788, 61
40, 2.6475992722670463, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.30612244897959184, 68, 138, 3.939829, 38
41, 5.290456415124185, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5612244897959184, 43, 98, 7.551965, 61
42, 4.576170700838473, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4897959183673469, 50, 109, 6.64715, 62
43, 5.663048855905994, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.6122448979591837, 38, 90, 7.099499, 66
44, 5.491245193729663, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6020408163265306, 39, 89, 7.871469, 68
45, 5.797367642709256, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6326530612244898, 36, 83, 7.980114, 72
46, 3.974129884511943, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4387755102040817, 55, 121, 6.150279, 58
47, 4.984333966144595, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5306122448979591, 46, 102, 6.201343, 58
48, 5.38920437740313, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.5816326530612245, 41, 96, 10.21156, 69
49, 3.045558455940515, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.33673469387755106, 65, 126, 4.807997, 41
50, 5.6953268263827255, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6224489795918368, 37, 83, 8.194977, 70
51, 5.899408459035783, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6428571428571428, 35, 81, 7.887243, 74
52, 5.086374782471122, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5408163265306123, 45, 100, 6.329614, 60
53, 5.392497231450717, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5714285714285714, 42, 88, 5.980327, 62
54, 3.8720890681854123, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.4285714285714286, 56, 122, 5.84643, 55
55, 5.188415598797656, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5510204081632653, 44, 98, 6.417144, 60
56, 2.6373951906343938, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.29591836734693877, 69, 136, 3.602213, 35
57, 4.882293149818064, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5204081632653061, 47, 100, 6.039548, 59
58, 2.6373951906343924, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.29591836734693877, 69, 136, 3.483804, 34
59, 5.494538047777247, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5816326530612245, 41, 86, 6.323771, 59
60, 5.290456415124186, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5612244897959184, 43, 96, 6.498676, 59
61, 5.243637931633229, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5510204081632653, 44, 92, 6.807232, 60
62, 5.392497231450717, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5714285714285714, 42, 88, 6.1, 61
63, 4.882293149818064, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5204081632653061, 47, 104, 6.023948, 59
64, 5.188415598797656, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5510204081632653, 44, 98, 6.574948, 60
65, 5.8994084590357865, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6428571428571428, 35, 80, 7.190266, 69
66, 2.841476823287453, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3163265306122449, 67, 133, 3.928971, 38
67, 5.254885590599873, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.5612244897959184, 43, 98, 7.538347, 62
68, 5.039556298980166, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5306122448979591, 46, 107, 5.916966, 59
69, 5.8994084590357865, 0.8695652173913044, 1.0, 0.7, 0.7692307692307693, 0.6326530612244898, 36, 83, 8.224036, 71
70, 5.663048855905994, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.6122448979591837, 38, 86, 6.647997, 64
71, 5.867130488559054, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.6224489795918368, 37, 85, 6.861, 68
72, 4.984333966144593, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5306122448979591, 46, 106, 6.13196, 59
73, 5.290456415124186, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5612244897959184, 43, 97, 6.468627, 59
74, 5.392497231450719, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5714285714285714, 42, 88, 5.784712, 61
75, 7.101824366110076, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7653061224489796, 23, 68, 8.915172, 87
76, 1.1722093602046608, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15306122448979587, 83, 153, 1.91553, 20
77, 5.494538047777249, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5816326530612245, 41, 85, 5.773565, 59
78, 5.44771956428629, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.5714285714285714, 42, 93, 7.357961, 66
