episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 3.0279929283565434, 0.9206349206349207, 0.9666666666666667, 0.8666666666666667, 0.8787878787878788, 0.3486238532110092, 71, 157, 16.725513, 55
1, 0.7885575942915393, 0.888888888888889, 1.0, 0.75, 0.8, 0.12844036697247707, 95, 181, 4.931064, 17
2, 3.5784516439528726, 0.9206349206349207, 0.9666666666666667, 0.8666666666666667, 0.8787878787878788, 0.4036697247706422, 65, 134, 18.148096, 63
3, 0.9661523491798721, 0.8787878787878789, 0.9666666666666667, 0.7666666666666667, 0.8055555555555556, 0.12844036697247707, 95, 185, 6.833076, 20
4, 1.1495358969927023, 0.8955223880597014, 1.0, 0.7666666666666667, 0.8108108108108109, 0.14678899082568808, 93, 170, 5.799446, 21
5, 3.4536750857760854, 0.90625, 0.9666666666666667, 0.8333333333333334, 0.8529411764705882, 0.3853211009174312, 67, 138, 17.295881, 61
6, 3.7619378824849843, 0.9206349206349207, 0.9666666666666667, 0.8666666666666667, 0.8787878787878788, 0.42201834862385323, 63, 133, 17.815119, 64
7, 1.0578954684459267, 0.8787878787878789, 0.9666666666666667, 0.7666666666666667, 0.8055555555555556, 0.13761467889908252, 94, 183, 6.37874, 22
8, 1.1495358969927023, 0.8955223880597014, 1.0, 0.7666666666666667, 0.8108108108108109, 0.14678899082568808, 93, 170, 5.961167, 21
9, 2.6518461393657193, 0.9206349206349207, 0.9666666666666667, 0.8666666666666667, 0.8787878787878788, 0.3027522935779816, 76, 148, 13.574149, 42
10, 1.1569648647107087, 0.8823529411764706, 1.0, 0.7333333333333333, 0.7894736842105263, 0.1651376146788991, 91, 163, 5.834147, 20
11, 1.1495358969927023, 0.8955223880597014, 1.0, 0.7666666666666667, 0.8108108108108109, 0.14678899082568808, 93, 170, 5.775343, 20
12, 1.0659353895428256, 0.8759124087591241, 1.0, 0.7166666666666667, 0.7792207792207793, 0.15596330275229353, 92, 167, 5.342402, 18
13, 0.9018028491756604, 0.888888888888889, 1.0, 0.75, 0.8, 0.13761467889908252, 94, 174, 5.214896, 16
14, 0.7410897970530993, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.11926605504587151, 96, 193, 6.456467, 20
15, 3.2208317118469107, 0.9133858267716535, 0.9666666666666667, 0.85, 0.8656716417910447, 0.37614678899082565, 68, 137, 21.185656, 57
16, 1.1835058318212335, 0.8633093525179857, 1.0, 0.6833333333333333, 0.759493670886076, 0.1651376146788991, 91, 160, 5.667064, 18
17, 0.8860967154562639, 0.8854961832061069, 0.9666666666666667, 0.7833333333333333, 0.8169014084507042, 0.11926605504587151, 96, 188, 6.147205, 20
18, 1.1495358969927023, 0.8955223880597014, 1.0, 0.7666666666666667, 0.8108108108108109, 0.14678899082568808, 93, 170, 6.127856, 21
