episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.332778142969661, 0.9147286821705427, 0.9833333333333333, 0.8333333333333334, 0.855072463768116, 0.054545454545454564, 104, 200, 3.530998, 14
1, 1.597485553206484, 0.9147286821705427, 0.9833333333333333, 0.8333333333333334, 0.855072463768116, 0.19090909090909092, 89, 177, 7.750315, 30
2, 6.5818181818181785, 0.9448818897637796, 1.0, 0.8833333333333333, 0.8955223880597015, 0.6909090909090909, 34, 79, 39.747398, 136
