best & 407.40 & 7.53 & 0.87 & 0.92 & 0.80 & 0.82 & 0.78 & 20.20 & 51.00 & 6.61 & 104.40 & 
worst & 6.40 & 0.61 & 0.85 & 0.88 & 0.82 & 0.83 & 0.09 & 85.60 & 147.60 & 0.68 & 10.40 & 
middle & 35.60 & 4.01 & 0.86 & 0.90 & 0.80 & 0.82 & 0.43 & 53.40 & 105.80 & 3.27 & 55.00 & 
initial & 0.93 & 0.88 & 1.00 & 1.00 & 0.00 & 94.00 & 166.40 & 
