episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 4.730654761904763, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5, 48, 101, 4.644616, 72
1, 4.938988095238095, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5208333333333333, 46, 99, 4.364957, 71
2, 0.6681547619047616, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.10416666666666663, 86, 141, 0.769727, 14
3, 4.741071428571429, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5104166666666667, 47, 99, 3.940551, 66
4, 5.261904761904762, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5625, 42, 85, 3.995029, 67
5, 1.6056547619047628, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.1875, 78, 124, 1.267123, 21
6, 5.470238095238097, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5833333333333333, 40, 83, 4.683358, 65
7, 2.126488095238095, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.25, 72, 114, 1.400803, 26
8, 2.230654761904762, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.25, 72, 114, 1.392808, 25
9, 1.4320075757575759, 0.8181818181818182, 0.9, 0.7, 0.75, 0.1875, 78, 124, 1.105816, 21
10, 5.470238095238097, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5833333333333333, 40, 83, 4.20857, 70
11, 6.025757575757577, 0.8181818181818182, 0.9, 0.7, 0.75, 0.6458333333333333, 34, 71, 4.726334, 76
12, 0.9806547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 0.850216, 16
13, 1.1889880952380951, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.14583333333333337, 82, 137, 1.009679, 17
14, 0.9806547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 0.818541, 16
15, 1.1195075757575754, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 137, 1.022699, 18
16, 1.6056547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.1875, 78, 124, 1.086501, 21
17, 0.6681547619047626, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.11458333333333337, 85, 137, 0.70343, 12
18, 5.574404761904761, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.59375, 39, 83, 3.90211, 67
19, 1.3278409090909085, 0.8181818181818182, 0.9, 0.7, 0.75, 0.16666666666666663, 80, 132, 1.232435, 22
20, 0.9910714285714282, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 0.845778, 16
21, 1.2931547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.16666666666666663, 80, 132, 1.034761, 18
22, 1.0848214285714288, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 0.875214, 17
23, 0.7723214285714279, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.10416666666666663, 86, 139, 0.753448, 14
24, 0.9806547619047616, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.125, 84, 133, 1.098945, 17
25, 1.0848214285714288, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 1.137896, 17
26, 5.261904761904761, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.5625, 42, 91, 5.813902, 63
27, 1.199404761904762, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.16666666666666663, 80, 132, 0.8708, 16
28, 0.8174242424242424, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.801759, 16
29, 0.7028409090909093, 0.8181818181818182, 0.9, 0.7, 0.75, 0.125, 84, 133, 0.764831, 13
30, 1.2931547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.16666666666666663, 80, 132, 1.185071, 16
31, 0.8174242424242424, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.728529, 16
32, 5.886904761904762, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.625, 36, 74, 3.867878, 67
33, 0.8174242424242424, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 1.202221, 16
34, 5.678571428571429, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.6145833333333333, 37, 79, 4.810061, 71
35, 0.6681547619047626, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.10416666666666663, 86, 141, 0.738243, 12
36, 1.2931547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.16666666666666663, 80, 132, 0.843734, 16
37, 8.074404761904763, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.84375, 15, 39, 4.871959, 89
38, 1.2236742424242428, 0.8181818181818182, 0.9, 0.7, 0.75, 0.16666666666666663, 80, 134, 0.816154, 17
39, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.823201, 16
40, 5.574404761904762, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.59375, 39, 84, 3.645063, 63
41, 1.2931547619047625, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.16666666666666663, 80, 132, 0.819013, 16
42, 5.66815476190476, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.59375, 39, 84, 4.980827, 67
43, 1.1889880952380951, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.14583333333333337, 82, 137, 1.14136, 17
44, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 1.232623, 16
45, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 1.034449, 15
46, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 1.037145, 16
47, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 1.052105, 16
48, 1.1889880952380951, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.15625, 81, 135, 1.291412, 19
49, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.916187, 16
50, 0.5639880952380942, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.10416666666666663, 86, 140, 0.674681, 13
51, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.78346, 15
52, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.839816, 15
53, 0.8764880952380952, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.125, 84, 134, 0.776063, 14
54, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.812039, 15
55, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.778188, 15
56, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.779121, 15
57, 0.8764880952380952, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.125, 84, 134, 0.727604, 14
58, 0.9111742424242429, 0.8181818181818182, 0.9, 0.7, 0.75, 0.14583333333333337, 82, 129, 0.880972, 15
59, 1.0848214285714288, 0.8571428571428572, 0.9, 0.8, 0.8181818181818182, 0.13541666666666663, 83, 132, 0.875512, 16
