episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 7.670623019592087, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7938144329896908, 20, 44, 6.24587, 111
1, 3.0504217432052476, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.3298969072164949, 65, 128, 2.288937, 42
2, 8.495365287633327, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.8865979381443299, 11, 29, 5.599781, 105
3, 3.8561900299013683, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.4226804123711341, 56, 110, 3.06941, 53
4, 8.328528001208412, 0.7692307692307693, 1.0, 0.4, 0.625, 0.8865979381443299, 11, 30, 6.694753, 104
5, 7.8768085866023965, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.8144329896907216, 18, 44, 5.555408, 105
6, 3.6500044628910597, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.3917525773195877, 59, 112, 2.300708, 41
7, 7.361344669076624, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7628865979381443, 23, 57, 5.514124, 96
8, 8.701550854643635, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.8969072164948454, 10, 26, 5.142736, 100
9, 5.196396215468377, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.5463917525773196, 44, 91, 3.2665, 63
10, 0.9885660731021559, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.12371134020618557, 85, 147, 0.820024, 16
11, 8.701550854643635, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.8969072164948454, 10, 26, 5.558442, 105
12, 8.59845807113848, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.8865979381443299, 11, 32, 8.098603, 106
13, 5.196396215468378, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.5463917525773196, 44, 91, 3.641669, 65
14, 3.0504217432052476, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.3298969072164949, 65, 131, 2.121885, 46
15, 3.77207122774133, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.4020618556701031, 58, 110, 2.322485, 44
16, 7.361344669076624, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.7628865979381443, 23, 56, 6.385669, 102
17, 3.256607310215557, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.35051546391752575, 63, 124, 1.867983, 42
18, 5.505674565983842, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.5773195876288659, 41, 87, 3.009185, 65
