episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 1.8995584559876677, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.25773195876288657, 72, 147, 17.744354, 38
1, 2.3415157249686906, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.31958762886597936, 66, 138, 24.980705, 50
2, 0.635080374699083, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.134020618556701, 84, 159, 9.512561, 21
3, 2.706342523850833, 0.9122807017543859, 0.975, 0.8375, 0.8571428571428571, 0.3402061855670103, 64, 146, 26.870373, 59
4, 2.7435800668403747, 0.9230769230769231, 0.975, 0.8625, 0.8764044943820225, 0.3608247422680413, 62, 137, 33.109004, 61
5, 2.3118646943313417, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.2989690721649485, 68, 137, 28.07554, 55
6, 0.9431837111940801, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.15463917525773196, 82, 159, 11.828665, 21
7, 3.230828663042507, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.3917525773195877, 59, 132, 34.319041, 60
8, 0.8504002060394412, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.15463917525773196, 82, 158, 10.684221, 21
9, 0.9567664976018534, 0.9090909090909091, 1.0, 0.8, 0.8333333333333334, 0.19587628865979378, 78, 144, 11.90137, 21
10, 2.126357940682865, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.2989690721649485, 68, 131, 24.298666, 52
11, 0.9534929895445935, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.17525773195876293, 80, 153, 10.30274, 21
12, 2.8389728794479763, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.3711340206185567, 61, 117, 24.281735, 48
13, 0.8504002060394412, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.15463917525773196, 82, 159, 10.645874, 21
14, 2.1173301057626883, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.2989690721649485, 68, 138, 23.129724, 49
15, 2.1999008279909607, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.28865979381443296, 69, 151, 27.876255, 51
16, 1.1421463647375627, 0.9142857142857143, 1.0, 0.8125, 0.8421052631578947, 0.20618556701030932, 77, 138, 10.649346, 23
17, 0.8504002060394412, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.15463917525773196, 82, 159, 9.889618, 21
18, 2.002651239492822, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.2680412371134021, 71, 146, 18.372482, 38
19, 1.7964656724825134, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.24742268041237114, 73, 150, 19.409012, 38
20, 2.189495054216298, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.28865979381443296, 69, 141, 22.500715, 44
21, 2.529797735207455, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.3402061855670103, 64, 133, 24.219575, 50
22, 0.8128064540150963, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.14432989690721654, 83, 159, 8.628683, 17
23, 2.351825003319207, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.3298969072164949, 65, 135, 21.141057, 46
24, 1.8995584559876677, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.25773195876288657, 72, 147, 18.244263, 39
25, 2.6521357755752977, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.3608247422680413, 62, 129, 26.567075, 55
26, 0.7473074225342838, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.14432989690721654, 83, 161, 10.061775, 22
27, 2.1147140874589327, 0.9230769230769231, 0.975, 0.8625, 0.8764044943820225, 0.27835051546391754, 70, 153, 28.752679, 51
28, 3.0450669385909803, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.3917525773195877, 59, 123, 27.255529, 54
29, 0.8504002060394412, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.15463917525773196, 82, 159, 10.30886, 21
30, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 8.053661, 17
31, 2.746285386659282, 0.9248554913294798, 1.0, 0.8375, 0.8602150537634409, 0.3711340206185567, 61, 112, 26.23543, 54
32, 1.111775526180046, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.1649484536082474, 81, 154, 10.638935, 22
33, 0.7200229488604585, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.14432989690721654, 83, 158, 7.630663, 16
34, 2.248732219814052, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.31958762886597936, 66, 138, 20.857601, 44
35, 0.8672866818096376, 0.935672514619883, 1.0, 0.8625, 0.8791208791208791, 0.15463917525773196, 82, 151, 8.761829, 18
36, 2.314579694260826, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.3298969072164949, 65, 131, 26.129929, 48
37, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 8.207377, 17
38, 1.0086827426748906, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.536407, 17
39, 1.0086827426748897, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 9.326851, 20
40, 0.9055899591697362, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.14432989690721654, 83, 157, 8.150945, 17
41, 2.538668818042681, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.3402061855670103, 64, 132, 26.574422, 51
42, 1.6830589716107012, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.22680412371134018, 75, 139, 15.694498, 32
43, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.80278, 17
44, 2.7551593525335116, 0.935672514619883, 1.0, 0.8625, 0.8791208791208791, 0.3711340206185567, 61, 119, 24.035847, 49
45, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.416276, 17
46, 0.833657251316211, 0.9248554913294798, 1.0, 0.8375, 0.8602150537634409, 0.1649484536082474, 81, 154, 8.934165, 20
47, 0.9158992375202517, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.461914, 18
48, 0.7951217333560298, 0.935672514619883, 1.0, 0.8625, 0.8791208791208791, 0.1649484536082474, 81, 151, 10.257122, 22
49, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.583344, 17
50, 1.273460230163872, 0.9195402298850576, 1.0, 0.825, 0.851063829787234, 0.20618556701030932, 77, 136, 13.814111, 28
51, 2.7551593525335116, 0.935672514619883, 1.0, 0.8625, 0.8791208791208791, 0.3711340206185567, 61, 119, 21.939761, 49
52, 2.641757290677843, 0.935672514619883, 1.0, 0.8625, 0.8791208791208791, 0.35051546391752575, 63, 127, 23.893938, 50
53, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 8.519175, 17
54, 0.9981489757689173, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.14432989690721654, 83, 158, 7.486177, 18
55, 0.8231157323656119, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.15463917525773196, 82, 156, 7.638188, 17
56, 0.9055899591697352, 0.9302325581395349, 1.0, 0.85, 0.8695652173913043, 0.14432989690721654, 83, 164, 7.390416, 16
