episode, reward, f1_score, recall, specificity, precision, size, nodes, transitions, duration, steps
0, 0.8597940852880194, 0.9080459770114943, 0.9875, 0.8125, 0.8404255319148937, 0.1428571428571429, 84, 157, 7.244487, 19
1, 0.8071599856711611, 0.8777777777777778, 0.9875, 0.7375, 0.79, 0.1428571428571429, 84, 162, 8.651962, 21
2, 3.5624288324797355, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.4591836734693877, 53, 114, 27.594348, 58
3, 2.4016681328510483, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.326530612244898, 66, 141, 20.392565, 46
4, 2.3073267916634093, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.30612244897959184, 68, 134, 20.096515, 43
5, 2.1044167667066818, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.29591836734693877, 69, 142, 20.779447, 38
6, 3.726865746298518, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.44897959183673475, 54, 115, 29.295333, 61
7, 3.450183934520553, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.4387755102040817, 55, 129, 30.853809, 57
8, 4.155437174869945, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.5102040816326531, 48, 109, 35.718322, 69
9, 4.422076296116353, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.5102040816326531, 48, 106, 31.539069, 61
10, 3.6350290116046384, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.44897959183673475, 54, 119, 31.619803, 62
11, 3.7358982202348363, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.44897959183673475, 54, 120, 31.597307, 63
12, 4.044525275708189, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.5, 49, 111, 31.302787, 63
13, 3.625963214627166, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.44897959183673475, 54, 117, 27.599727, 60
14, 2.1440614855409628, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.326530612244898, 66, 122, 16.591269, 39
15, 3.54202066921443, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.4387755102040817, 55, 120, 30.064601, 63
16, 4.155502070546891, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.5102040816326531, 48, 107, 32.545551, 72
17, 3.1261579287694143, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.40816326530612246, 58, 129, 26.349796, 55
18, 3.9321838823248596, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.47959183673469385, 51, 111, 24.044981, 54
19, 2.19739178605574, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.30612244897959184, 68, 132, 17.666729, 40
20, 2.317530873296064, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.3163265306122449, 67, 131, 19.059247, 44
21, 2.1044816623836278, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.29591836734693877, 69, 141, 22.027765, 42
22, 2.327734954928718, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.326530612244898, 66, 129, 21.462504, 43
23, 2.0851468880965545, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.2857142857142857, 70, 143, 18.287269, 37
24, 2.104481662383629, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.29591836734693877, 69, 142, 18.942513, 38
25, 2.5953509697292096, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.33673469387755106, 65, 140, 25.757743, 47
26, 0.42472972353924676, 0.8977272727272727, 0.9875, 0.7875, 0.8229166666666666, 0.10204081632653061, 88, 167, 5.355512, 11
27, 0.1535945769568492, 0.8729281767955802, 0.9875, 0.725, 0.7821782178217822, 0.12244897959183676, 86, 153, 5.992895, 12
28, 2.726865746298518, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.37755102040816324, 61, 125, 24.640954, 50
29, 0.18025510204081663, 0.9028571428571428, 0.9875, 0.8, 0.8315789473684211, 0.05102040816326525, 93, 184, 2.940174, 6
30, 0.8296357706060824, 0.8586956521739131, 0.9875, 0.6875, 0.7596153846153846, 0.16326530612244894, 82, 147, 8.125919, 15
31, 0.4145256419065937, 0.8977272727272727, 0.9875, 0.7875, 0.8229166666666666, 0.09183673469387754, 89, 168, 4.622189, 9
32, 1.8379390365613701, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.29591836734693877, 69, 137, 18.212965, 37
33, 2.726865746298519, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.37755102040816324, 61, 127, 23.052328, 49
34, 2.4933101534026783, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.326530612244898, 66, 123, 17.093056, 40
35, 2.1974900047738393, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.30612244897959184, 68, 140, 18.157223, 38
36, 3.4322803777490076, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.4387755102040817, 55, 123, 25.955515, 54
37, 4.14656609203472, 0.9186046511627908, 0.9875, 0.8375, 0.8586956521739131, 0.5102040816326531, 48, 109, 29.215247, 59
38, 3.217898168039145, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.40816326530612246, 58, 131, 23.426412, 52
39, 2.9399798528878995, 0.9294117647058824, 0.9875, 0.8625, 0.8777777777777778, 0.3979591836734694, 59, 122, 23.567443, 50
40, 3.421979800692206, 0.9239766081871346, 0.9875, 0.85, 0.8681318681318682, 0.4285714285714286, 56, 124, 24.799284, 54
